Fixation,Palabra,Imagen,Correct_answer
Fixation_Point_Coin_Star-1.jpg,eye.mp3,I086.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,bed.mp3,I022.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,ball.mp3,I006.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,cup.mp3,I070.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,doll.mp3,I074.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pineapple.mp3,I014.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,table.mp3,I007.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,balloon.mp3,I015.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,banana.mp3,I016.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,frog.mp3,I003.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,duck.mp3,I021.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,foot.mp3,I025.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,flower.mp3,I026.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,guitar.mp3,I076.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,arm.mp3,I030.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,lamp.mp3,I132.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,broom.mp3,I037.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,house.mp3,I032.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,cow.mp3,I068.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,book.mp3,I042.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,bell.mp3,I060.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,cake.mp3,I042.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,candle.mp3,I044.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,mountain.mp3,I148.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,knife.mp3,I130.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pear.mp3,I166.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pig.mp3,I172.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,glasses.mp3,I105.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,heart.mp3,I215.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,star.mp3,I091.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,turtle.mp3,I028.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,pants.mp3,I162.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,apple.mp3,I119.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,fork.mp3,I088.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,bus.mp3,I039.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,finger.mp3,I220.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,rabbit.mp3,I182.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,chair.mp3,I053.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,key.mp3,I222.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,umbrella.mp3,I215.png,ArrowRight
